time,U (heating,y (Tin)
2022-05-25T10:29:06.192Z,255,17.5
2022-05-25T10:34:32.621Z,0,18.25
2022-05-25T10:37:47.091Z,0,18
2022-05-25T10:46:27.467Z,86,18.25
2022-05-25T10:46:28.517Z,0,17.75
2022-05-25T10:46:42.197Z,86,18
2022-05-25T10:46:43.535Z,42,18.25
2022-05-25T10:46:44.277Z,0,17.75
2022-05-25T10:46:49.537Z,43,18.25
2022-05-25T10:46:50.594Z,0,17.75
2022-05-25T10:46:56.897Z,43,18.25
2022-05-25T10:46:57.947Z,0,18.5
2022-05-25T10:47:00.257Z,43,18.25
2022-05-25T10:47:01.117Z,0,18
2022-05-25T10:47:02.157Z,43,18.25
2022-05-25T10:47:03.337Z,0,17.5
2022-05-25T10:47:11.627Z,43,18.25
2022-05-25T10:47:12.677Z,85,18
2022-05-25T10:47:15.837Z,42,18.25
2022-05-25T10:47:19.007Z,85,18
2022-05-25T10:47:20.047Z,42,18.5
2022-05-25T10:47:21.097Z,0,18.25
2022-05-25T10:47:23.207Z,43,18
2022-05-25T10:47:24.267Z,42,18.25
2022-05-25T10:47:27.427Z,85,18
2022-05-25T10:47:28.507Z,42,18.25
2022-05-25T10:47:29.537Z,85,18.5
2022-05-25T10:47:30.597Z,128,18.25
2022-05-25T10:47:31.647Z,127,18.5
2022-05-25T10:47:35.887Z,84,18.25
2022-05-25T10:47:36.927Z,85,18.75
2022-05-25T10:47:37.987Z,128,18.25
2022-05-25T10:47:39.177Z,127,18.5
2022-05-25T10:47:43.257Z,171,18.25
2022-05-25T10:47:44.317Z,255,18.5
2022-05-25T10:49:26.667Z,212,18.75
2022-05-25T10:49:27.717Z,83,18.5
2022-05-25T10:49:28.767Z,0,18.75
2022-05-25T11:08:14.267Z,43,18.5
2022-05-25T11:08:15.317Z,0,18.75
2022-05-25T11:09:14.037Z,43,18.5
2022-05-25T11:09:15.151Z,0,18.75
2022-05-25T11:09:17.187Z,43,19
2022-05-25T11:09:18.267Z,0,18.75
2022-05-25T11:09:32.917Z,43,19.25
2022-05-25T11:09:33.967Z,0,18.25
2022-05-25T11:09:44.638Z,43,19.25
2022-05-25T11:09:45.518Z,85,19
2022-05-25T11:09:47.637Z,42,18.75
2022-05-25T11:09:48.677Z,0,19.5
2022-05-25T11:09:51.837Z,43,19.25
2022-05-25T11:09:52.887Z,0,19.5
2022-05-25T11:10:01.297Z,43,19.25
2022-05-25T11:10:02.357Z,42,19.5
2022-05-25T11:10:03.387Z,0,19.25
2022-05-25T11:10:08.667Z,43,19.5
2022-05-25T11:10:09.697Z,0,19.75
2022-05-25T11:10:13.897Z,43,19.5
2022-05-25T11:10:14.957Z,42,19.75
2022-05-25T11:10:16.007Z,128,19.5
2022-05-25T11:10:17.068Z,127,20.25
2022-05-25T11:10:21.277Z,84,19.5
2022-05-25T11:10:22.337Z,0,20
2022-05-25T11:10:35.967Z,86,19.5
2022-05-25T11:10:37.047Z,128,20.25
2022-05-25T11:10:38.087Z,84,20.5
2022-05-25T11:10:39.127Z,0,20.75
2022-05-25T11:10:51.737Z,43,20
2022-05-25T11:10:52.778Z,42,20.5
2022-05-25T11:10:53.827Z,85,20.75
2022-05-25T11:10:54.929Z,128,20.5
2022-05-25T11:10:55.947Z,127,20.75
2022-05-25T11:10:56.998Z,171,20.5
2022-05-25T11:10:58.127Z,127,21
2022-05-25T11:11:00.167Z,84,20.75
2022-05-25T11:11:01.217Z,85,21.5
2022-05-25T11:11:03.337Z,171,21
2022-05-25T11:11:04.388Z,170,21.5
2022-05-25T11:11:07.547Z,213,20.75
2022-05-25T11:11:08.607Z,169,21.75
2022-05-25T11:11:09.677Z,170,21.25
2022-05-25T11:11:10.717Z,127,21.75
2022-05-25T11:11:11.787Z,84,21
2022-05-25T11:11:12.907Z,85,21.5
2022-05-25T11:11:16.187Z,128,22
2022-05-25T11:11:17.047Z,127,22.25
2022-05-25T11:11:19.157Z,171,21.75
2022-05-25T11:11:20.207Z,213,22.25
2022-05-25T11:11:21.274Z,255,21.75
2022-05-25T11:11:22.317Z,212,22.5
2022-05-25T11:11:23.387Z,169,22.25
2022-05-25T11:11:24.427Z,213,22.5
2022-05-25T11:11:26.547Z,255,22
2022-05-25T11:11:28.657Z,212,22.75
2022-05-25T11:11:29.717Z,213,22.5
2022-05-25T11:11:32.877Z,255,22.25
2022-05-25T11:11:56.744Z,212,22.5
2022-05-25T11:11:57.345Z,169,22.75
2022-05-25T11:11:58.167Z,0,22.5
2022-05-25T11:23:32.547Z,43,23.25
2022-05-25T11:23:33.587Z,0,22.75
2022-05-25T11:23:48.281Z,43,23.5
2022-05-25T11:23:49.447Z,0,23.25
2022-05-25T11:25:37.387Z,43,23.75
2022-05-25T11:25:38.437Z,0,24
2022-05-25T11:26:31.957Z,43,23.75
2022-05-25T11:26:32.997Z,85,24
2022-05-25T11:26:36.167Z,42,24.25
2022-05-25T11:26:37.207Z,0,24
2022-05-25T11:26:40.357Z,43,24.25
2022-05-25T11:26:41.407Z,0,23.5
2022-05-25T11:26:43.517Z,43,24
2022-05-25T11:26:44.577Z,0,24.25
2022-05-25T11:26:49.837Z,43,24.5
2022-05-25T11:26:50.887Z,0,24.25
2022-05-25T11:27:09.768Z,43,24.75
2022-05-25T11:27:10.827Z,85,24.5
2022-05-25T11:27:11.877Z,128,24.75
2022-05-25T11:27:13.017Z,127,25
2022-05-25T11:27:19.267Z,84,25.25
2022-05-25T11:27:20.317Z,42,24.75
2022-05-25T11:27:21.387Z,85,25
2022-05-25T11:27:23.487Z,42,25.25
2022-05-25T11:27:25.715Z,0,25
2022-05-25T11:27:30.855Z,43,25.5
2022-05-25T11:27:32.057Z,42,25.75
2022-05-25T11:27:32.957Z,0,26
2022-05-25T11:27:36.117Z,129,25.75
2022-05-25T11:27:37.397Z,171,26.25
2022-05-25T11:27:38.237Z,84,26.5
2022-05-25T11:27:39.277Z,85,26.25
2022-05-25T11:27:41.387Z,0,26.5
2022-05-25T11:27:45.577Z,43,26.75
2022-05-25T11:27:46.637Z,42,26.5
2022-05-25T11:27:47.717Z,85,26.75
2022-05-25T11:27:48.757Z,42,26.5
2022-05-25T11:27:49.807Z,85,27
2022-05-25T11:27:50.877Z,42,27.25
2022-05-25T11:27:51.935Z,0,27.5
2022-05-25T11:27:56.117Z,43,27.25
2022-05-25T11:27:57.187Z,42,27.5
2022-05-25T11:27:59.277Z,0,27.75
2022-05-25T11:28:02.427Z,43,28
2022-05-25T11:28:03.487Z,42,28.25
2022-05-25T11:28:05.597Z,85,27.75
2022-05-25T11:28:06.647Z,42,28.5
2022-05-25T11:28:08.757Z,0,28
2022-05-25T11:28:15.077Z,86,28.25
2022-05-25T11:28:16.297Z,85,28.5
2022-05-25T11:28:18.237Z,42,28.75
2022-05-25T11:28:21.397Z,85,28
2022-05-25T11:28:22.467Z,42,28.75
2022-05-25T11:28:23.527Z,85,28.5
2022-05-25T11:28:26.677Z,171,28.75
2022-05-25T11:28:27.754Z,170,29
2022-05-25T11:28:30.907Z,255,29.25
2022-05-25T11:28:36.187Z,212,28.75
2022-05-25T11:28:37.236Z,169,29.25
2022-05-25T11:28:38.288Z,213,29.5
2022-05-25T11:28:41.467Z,126,29.75
2022-05-25T11:28:42.507Z,127,29.5
2022-05-25T11:28:44.866Z,214,29.75
2022-05-25T11:28:45.687Z,169,30
2022-05-25T11:28:46.747Z,213,30.5
2022-05-25T11:28:50.137Z,169,30.25
2022-05-25T11:28:50.957Z,170,30.5
2022-05-25T11:28:52.137Z,213,30
2022-05-25T11:28:54.126Z,169,30.25
2022-05-25T11:28:55.227Z,127,30.5
2022-05-25T11:29:00.466Z,171,30.75
2022-05-25T11:29:01.526Z,170,30
2022-05-25T11:29:03.616Z,127,31
2022-05-25T11:29:07.855Z,171,30.75
2022-05-25T11:29:08.887Z,170,30.5
2022-05-25T11:29:10.996Z,84,31.25
2022-05-25T11:29:12.066Z,85,31
2022-05-25T11:29:14.176Z,42,31.25
2022-05-25T11:29:16.276Z,85,31
2022-05-25T11:29:18.397Z,42,30.75
2022-05-25T11:29:19.456Z,0,31
2022-05-25T11:29:27.98Z,43,30.75
2022-05-25T11:29:28.906Z,0,31.25
2022-05-25T11:29:30.026Z,43,31
2022-05-25T11:29:31.066Z,0,30.75
2022-05-25T11:29:54.187Z,43,31.25
2022-05-25T11:29:55.136Z,0,31.75
2022-05-25T11:30:58.192Z,43,31.5
2022-05-25T11:30:59.136Z,0,31.25
2022-05-25T11:34:42.586Z,43,31
2022-05-25T11:34:43.636Z,0,31.5
2022-05-25T11:34:50.986Z,43,30.75
2022-05-25T11:34:52.06Z,0,31.75
2022-05-25T11:34:57.276Z,86,32
2022-05-25T11:34:58.346Z,171,31.5
2022-05-25T11:34:59.406Z,84,32
2022-05-25T11:35:00.456Z,85,31.75
2022-05-25T11:35:01.506Z,0,32
2022-05-25T11:35:05.716Z,43,32.25
2022-05-25T11:35:06.764Z,0,31.5
2022-05-25T11:36:53.825Z,43,32
2022-05-25T11:36:54.746Z,0,31.75
2022-05-25T11:37:33.545Z,43,32
2022-05-25T11:37:34.596Z,42,32.25
2022-05-25T11:37:35.646Z,85,32
2022-05-25T11:37:36.716Z,42,32.5
2022-05-25T11:37:37.766Z,0,32.25
2022-05-25T11:37:43.003Z,43,32.5
2022-05-25T11:37:44.075Z,0,32.25
2022-05-25T11:37:50.335Z,129,32.5
2022-05-25T11:37:51.395Z,84,33
2022-05-25T11:37:52.456Z,42,32.5
2022-05-25T11:37:54.576Z,0,33.25
2022-05-25T11:37:56.906Z,43,33
2022-05-25T11:37:57.715Z,42,32.75
2022-05-25T11:37:58.766Z,0,33.25
2022-05-25T11:38:01.926Z,43,33.5
2022-05-25T11:38:02.976Z,85,33
2022-05-25T11:38:04.036Z,128,33.75
2022-05-25T11:38:05.086Z,171,33
2022-05-25T11:38:06.156Z,170,33.5
2022-05-25T11:38:07.365Z,127,32.75
2022-05-25T11:38:10.626Z,171,33.75
2022-05-25T11:38:11.445Z,170,33.5
2022-05-25T11:38:12.476Z,213,33.75
2022-05-25T11:38:13.546Z,255,33.25
2022-05-25T11:40:10.655Z,125,33.5
2022-05-25T11:40:11.715Z,0,33.25
